2022/10/06 17:55:04 buildTime 3.515691564         cpuLoad: 0.17%		 ramLoad: 68.94%		
2022/10/06 18:00:07 buildTime 5.550065234         cpuLoad: 0.14%		 ramLoad: 71.43%		
2022/10/06 18:05:05 buildTime 3.586647739         cpuLoad: 0.22%		 ramLoad: 67.70%		
2022/10/06 18:10:05 buildTime 3.899686869         cpuLoad: 0.21%		 ramLoad: 72.57%		
2022/10/06 18:15:05 buildTime 3.795755991         cpuLoad: 0.05%		 ramLoad: 72.67%		
2022/10/06 18:20:05 buildTime 4.019898984         cpuLoad: 0.01%		 ramLoad: 73.81%		
2022/10/06 18:25:05 buildTime 4.166890848         cpuLoad: 0.00%		 ramLoad: 73.71%		
2022/10/06 18:30:05 buildTime 4.529040151         cpuLoad: 0.01%		 ramLoad: 74.02%		
2022/10/06 18:35:05 buildTime 4.303349332         cpuLoad: 0.02%		 ramLoad: 74.12%		
2022/10/06 18:40:04 buildTime 3.626042744         cpuLoad: 1.28%		 ramLoad: 67.70%		
2022/10/06 18:45:05 buildTime 3.946740316         cpuLoad: 1.24%		 ramLoad: 67.08%		
2022/10/06 18:50:05 buildTime 4.176640327         cpuLoad: 0.29%		 ramLoad: 63.77%		
2022/10/06 18:55:04 buildTime 3.183285425         cpuLoad: 0.04%		 ramLoad: 61.59%		
2022/10/06 19:00:06 buildTime 5.019734619         cpuLoad: 0.02%		 ramLoad: 60.77%		
2022/10/06 19:05:04 buildTime 3.101101366         cpuLoad: 0.00%		 ramLoad: 61.80%		
2022/10/06 19:15:05 buildTime 3.454581939         cpuLoad: 0.17%		 ramLoad: 64.60%		
2022/10/06 19:20:04 buildTime 3.546309653         cpuLoad: 0.18%		 ramLoad: 64.60%		
2022/10/06 19:25:04 buildTime 3.630138615         cpuLoad: 0.02%		 ramLoad: 54.87%		
2022/10/06 19:30:04 buildTime 3.568104480         cpuLoad: 0.00%		 ramLoad: 54.24%		
2022/10/06 19:35:04 buildTime 2.904491035         cpuLoad: 0.41%		 ramLoad: 61.70%		
2022/10/06 19:40:04 buildTime 3.086797315         cpuLoad: 0.02%		 ramLoad: 61.08%		
2022/10/06 19:50:05 buildTime 4.077957536         cpuLoad: 0.06%		 ramLoad: 39.44%		
2022/10/06 19:55:05 buildTime 4.260841370         cpuLoad: 0.41%		 ramLoad: 62.84%		
2022/10/06 20:00:08 buildTime 6.976710761         cpuLoad: 0.25%		 ramLoad: 61.08%		
2022/10/06 20:05:05 buildTime 3.292413368         cpuLoad: 0.28%		 ramLoad: 63.66%		
2022/10/06 20:10:05 buildTime 3.162365262         cpuLoad: 0.07%		 ramLoad: 60.87%		
2022/10/06 20:15:05 buildTime 3.181815843         cpuLoad: 0.05%		 ramLoad: 59.63%		
2022/10/06 20:20:07 buildTime 5.016734728         cpuLoad: 1.06%		 ramLoad: 64.80%		
2022/10/06 20:25:05 buildTime 4.124236545         cpuLoad: 1.60%		 ramLoad: 49.28%		
2022/10/06 20:35:05 buildTime 3.420323609         cpuLoad: 1.07%		 ramLoad: 4.17%		
2022/10/06 20:40:04 buildTime 3.041500844         cpuLoad: 0.24%		 ramLoad: 4.57%		
2022/10/06 20:45:04 buildTime 3.029627283         cpuLoad: 0.00%		 ramLoad: 4.57%		
2022/10/06 20:50:05 buildTime 3.206172989         cpuLoad: 0.01%		 ramLoad: 4.65%		
2022/10/06 20:55:04 buildTime 3.167894704         cpuLoad: 1.34%		 ramLoad: 4.97%		
2022/10/06 21:00:04 buildTime 2.956621136         cpuLoad: 0.12%		 ramLoad: 4.80%		
2022/10/06 21:05:04 buildTime 3.021943126         cpuLoad: 0.00%		 ramLoad: 4.89%		
2022/10/06 21:10:04 buildTime 3.006820278         cpuLoad: 0.00%		 ramLoad: 4.91%		
2022/10/06 21:15:04 buildTime 3.029033906         cpuLoad: 0.24%		 ramLoad: 4.82%		
2022/10/06 21:20:05 buildTime 3.223064294         cpuLoad: 0.05%		 ramLoad: 4.98%		
2022/10/06 21:25:05 buildTime 3.344940270         cpuLoad: 0.04%		 ramLoad: 5.04%		
2022/10/06 21:30:04 buildTime 3.024254623         cpuLoad: 0.18%		 ramLoad: 5.01%		
2022/10/06 21:35:04 buildTime 3.195855365         cpuLoad: 0.04%		 ramLoad: 5.09%		
2022/10/06 21:40:04 buildTime 3.057685201         cpuLoad: 0.09%		 ramLoad: 5.09%		
2022/10/06 21:45:04 buildTime 3.265025941         cpuLoad: 0.04%		 ramLoad: 5.09%		
2022/10/06 21:50:04 buildTime 3.113592736         cpuLoad: 0.13%		 ramLoad: 5.01%		
2022/10/06 21:55:06 buildTime 4.758161068         cpuLoad: 0.20%		 ramLoad: 5.15%		
2022/10/06 22:00:06 buildTime 4.905271064         cpuLoad: 1.99%		 ramLoad: 62.63%		
2022/10/06 22:05:05 buildTime 3.071612466         cpuLoad: 0.02%		 ramLoad: 61.70%		
2022/10/06 22:10:04 buildTime 3.190737673         cpuLoad: 0.15%		 ramLoad: 63.15%		
2022/10/06 22:15:04 buildTime 3.108799756         cpuLoad: 0.04%		 ramLoad: 60.87%		
2022/10/06 22:20:04 buildTime 3.182441702         cpuLoad: 0.00%		 ramLoad: 62.01%		
2022/10/06 22:25:04 buildTime 3.085967956         cpuLoad: 0.03%		 ramLoad: 60.66%		
2022/10/06 22:30:05 buildTime 3.968206930         cpuLoad: 0.08%		 ramLoad: 60.87%		
2022/10/06 22:35:04 buildTime 3.241226924         cpuLoad: 0.06%		 ramLoad: 61.59%		
2022/10/06 22:40:04 buildTime 3.026623268         cpuLoad: 0.00%		 ramLoad: 61.18%		
2022/10/06 22:45:04 buildTime 3.058065634         cpuLoad: 0.04%		 ramLoad: 61.18%		
2022/10/06 22:50:04 buildTime 3.207731448         cpuLoad: 0.03%		 ramLoad: 61.70%		
2022/10/06 22:55:04 buildTime 3.179942979         cpuLoad: 0.02%		 ramLoad: 62.22%		
2022/10/06 23:00:06 buildTime 4.750759441         cpuLoad: 0.00%		 ramLoad: 62.84%		
2022/10/06 23:05:04 buildTime 3.003622877         cpuLoad: 0.28%		 ramLoad: 62.42%		
2022/10/06 23:10:04 buildTime 3.168923722         cpuLoad: 0.00%		 ramLoad: 62.42%		
2022/10/06 23:15:04 buildTime 3.061872111         cpuLoad: 0.04%		 ramLoad: 61.80%		
2022/10/06 23:20:04 buildTime 3.021521914         cpuLoad: 0.00%		 ramLoad: 61.70%		
2022/10/06 23:25:05 buildTime 3.070347457         cpuLoad: 0.14%		 ramLoad: 62.22%		
2022/10/06 23:30:05 buildTime 3.315526757         cpuLoad: 0.00%		 ramLoad: 61.80%		
2022/10/06 23:35:04 buildTime 3.031596397         cpuLoad: 0.10%		 ramLoad: 62.22%		
2022/10/06 23:40:04 buildTime 3.062404575         cpuLoad: 0.08%		 ramLoad: 61.90%		
2022/10/06 23:45:04 buildTime 2.999268124         cpuLoad: 0.01%		 ramLoad: 61.90%		
2022/10/06 23:50:04 buildTime 3.104032017         cpuLoad: 0.13%		 ramLoad: 61.80%		
2022/10/06 23:55:05 buildTime 3.978079356         cpuLoad: 0.11%		 ramLoad: 63.25%		
2022/10/07 00:00:10 buildTime 6.218624767         cpuLoad: 1.05%		 ramLoad: 59.94%		
2022/10/07 00:05:05 buildTime 3.347000947         cpuLoad: 0.06%		 ramLoad: 62.42%		
2022/10/07 00:10:04 buildTime 3.183668879         cpuLoad: 0.07%		 ramLoad: 61.39%		
2022/10/07 00:15:04 buildTime 3.051082790         cpuLoad: 0.01%		 ramLoad: 60.46%		
2022/10/07 00:20:04 buildTime 2.851419705         cpuLoad: 0.00%		 ramLoad: 60.77%		
2022/10/07 00:25:04 buildTime 2.787097869         cpuLoad: 0.00%		 ramLoad: 60.66%		
2022/10/07 00:30:04 buildTime 3.596033488         cpuLoad: 0.14%		 ramLoad: 60.14%		
2022/10/07 00:35:04 buildTime 2.998988849         cpuLoad: 0.00%		 ramLoad: 60.35%		
2022/10/07 00:40:04 buildTime 2.912500360         cpuLoad: 0.00%		 ramLoad: 61.49%		
2022/10/07 00:45:04 buildTime 2.851768621         cpuLoad: 0.00%		 ramLoad: 61.08%		
2022/10/07 00:50:04 buildTime 2.873011698         cpuLoad: 0.32%		 ramLoad: 60.46%		
2022/10/07 00:55:04 buildTime 2.902467222         cpuLoad: 0.00%		 ramLoad: 61.28%		
2022/10/07 01:00:06 buildTime 5.048894009         cpuLoad: 0.00%		 ramLoad: 61.18%		
2022/10/07 01:05:04 buildTime 2.882013503         cpuLoad: 0.04%		 ramLoad: 62.01%		
2022/10/07 01:10:04 buildTime 3.027757465         cpuLoad: 0.02%		 ramLoad: 61.80%		
2022/10/07 01:15:04 buildTime 2.855343719         cpuLoad: 0.00%		 ramLoad: 61.49%		
2022/10/07 01:20:04 buildTime 2.820012229         cpuLoad: 0.14%		 ramLoad: 61.49%		
2022/10/07 01:25:04 buildTime 2.887116020         cpuLoad: 0.00%		 ramLoad: 61.59%		
2022/10/07 01:30:05 buildTime 3.074753996         cpuLoad: 0.11%		 ramLoad: 61.39%		
2022/10/07 01:35:04 buildTime 2.804888923         cpuLoad: 0.02%		 ramLoad: 61.28%		
2022/10/07 01:40:04 buildTime 2.929279879         cpuLoad: 0.03%		 ramLoad: 61.39%		
2022/10/07 01:45:04 buildTime 2.968052096         cpuLoad: 0.46%		 ramLoad: 61.28%		
2022/10/07 01:50:04 buildTime 2.980833521         cpuLoad: 0.00%		 ramLoad: 61.28%		
2022/10/07 01:55:04 buildTime 2.921907153         cpuLoad: 0.04%		 ramLoad: 61.39%		
2022/10/07 02:00:06 buildTime 5.231881507         cpuLoad: 0.00%		 ramLoad: 61.28%		
2022/10/07 02:05:04 buildTime 2.816123239         cpuLoad: 0.01%		 ramLoad: 61.39%		
2022/10/07 02:10:04 buildTime 3.037072478         cpuLoad: 0.00%		 ramLoad: 60.66%		
2022/10/07 02:15:04 buildTime 2.901617443         cpuLoad: 0.07%		 ramLoad: 60.66%		
2022/10/07 02:20:04 buildTime 2.802513205         cpuLoad: 0.00%		 ramLoad: 60.66%		
2022/10/07 02:25:04 buildTime 2.862799922         cpuLoad: 0.00%		 ramLoad: 60.87%		
2022/10/07 02:30:04 buildTime 3.227143443         cpuLoad: 0.03%		 ramLoad: 60.46%		
2022/10/07 02:35:04 buildTime 2.813158154         cpuLoad: 0.27%		 ramLoad: 60.25%		
2022/10/07 02:40:04 buildTime 2.833128092         cpuLoad: 0.00%		 ramLoad: 60.35%		
2022/10/07 02:45:04 buildTime 2.839000722         cpuLoad: 0.00%		 ramLoad: 59.73%		
2022/10/07 02:50:05 buildTime 2.925057575         cpuLoad: 0.02%		 ramLoad: 60.25%		
2022/10/07 02:55:03 buildTime 2.868137688         cpuLoad: 0.02%		 ramLoad: 60.46%		
2022/10/07 03:00:07 buildTime 6.292835226         cpuLoad: 0.00%		 ramLoad: 60.56%		
2022/10/07 03:05:04 buildTime 2.942876342         cpuLoad: 0.00%		 ramLoad: 60.35%		
2022/10/07 03:10:04 buildTime 3.090988578         cpuLoad: 0.29%		 ramLoad: 60.46%		
